question,answer,followUp
Would you rather be liked or respected?,I prefer to be respected more than being liked. I believe respect is more truthful and,Is it okay if no one likes you?
Why should you be hired from outside when someone could be promoted within the same organisation?,"In the organization , most of the employees think that they have got their job and won't have any problem in future.From here on they begin lacking one thing , passion to learn. From what i experienced , the employees don't know about new technologies , ideas and new tools which they should be working on.Whereas the outsider who has been living in this fast growing technology will be knowing these cutting edge technologies much more than the employees.So , at the end the company will get benefit. ",Which new technologies do you have knowledge about?
Describe a time when your workload was heavy and how you handled it.,It was in the Jan 2017. When I was doing my internship and also the course work with many ongoing projects and also my own projects. At that time it was very hectic for me but finally managed it by deciding my priorities and finally I quit my internship.,How did you prioritize you work?
What has been your best career move so far?,Not going for placement in under graduation and completely focusing on my gate preparation was my best career move.,Have you ever regretted that move?
Do you consider yourself successful? Why?,Not yet as there is lots to achieve in terms of gaining knowledge and excellence,"So,  when will you consider yourself successful?"
What is the biggest challenge you have faced so far?,Scaling a tech product from a 0 to a 1. Then convincing companies to use your naive product in their operations.,How did you convince them?
What is the difference between hard work and smart work?,"There is no substitute for hard work . But sometimes instead of working hard , we can understand problem thoroughly and work smart to get it done . Many times we dont need to build things from scratch i.e. working hard instead we can build things on existing things by doing some smart work.",Which one gives you more satisfaction?
What do you do if you disagree with your boss?,"To disagree is natural and healthy, I believe. We would hardly progress if everyone just agreed with each other and remained passive. But there is a polite, non confrontational way to go about voicing your disagreement. If I had a disagreement with my boss, I would voice it. The manner in which I'd voice is albeit respectful would vary a little depending on the personality of my boss. If he/she were an open, friendly, approachable boss, I would be a little more frank and specific about my disagreement and maybe go so far as to offer alternatives and suggestions. If the boss is a little more reserved and less open to suggestions, I would subtly make my opinion known and take it forward based on the reaction.",That's wise. What if he doesn't consider your opinion?
Why will you resign from a job?,If i find i could contribute nothing to the job and  when i find the job doesnot need me.I would also resign if the job give me any satisfaction.,So if job is not giving you satisfaction in first couple of months you will leave?
What can you do better for us than the other candidates for the job?,"My friends and teachers told me that I am very good in exploring new things to solve a problem, and that part is very useful when we stuck with some problem, and we need out of the box thinking.",Can you give any real life example for the same?
Give an example of a time you went well out of your way to ensure a project was completed or a customer received the best possible service from you.,"The last project I did was to implement a IP asset management portal for my Institute. During the course of our project, we had to deal with a lot of changes from the customer side. Some of the request required the complete redesign of the software architecture. But our team was able to incorporate all of the changes, with a lot of hard work and a lot of sleepless nights",What if Customer is not happy with the end result?
Describe a time when your workload was heavy and how you handled it.,"This happened when I used to work with my previous employer. Suddenly an important bug was rose by the customer on a Friday evening. Unfortunately that being a long weekend most of my team mates including my tech lead was on a holidays out of Bangalore. That bug being very important and had a potential of customer dis-trusting our company, I was spell bound to fix it. I came to office on Saturdays and sundays and fixed it after working around 10 hours on each day.",This was just one time. What if this happens every time?
Tell me about a time when you misjudged a person.,"During a tendering process, where i felt this colleague was being too much of a stickler for details. He was providing too much detail to the customer. But it was this detail-oriented approach which one us the order. ",Did you confront your colleague initially?
Tell me about a time when you misjudged a person.,"During a tendering process, where i felt this colleague was being too much of a stickler for details. He was providing too much detail to the customer. But it was this detail-oriented approach which one us the order. ",What did you learn from this?
What is the biggest challenge you have faced so far?,"During my first job, I was not very good at programming. So in order to not appear \unskilled\' before the people i spent extra efforts to learn the same. '",Did you see any improvements after your extra efforts?
What is the biggest challenge you have faced so far?,"During my first job, I was not very good at programming. So in order to not appear \unskilled\' before the people i spent extra efforts to learn the same. '",Great! How did you improve your programming skills?
"If you have problems at your workplace, how and to whom would you communicate it?",If I have any problem at my workplace then first I will try to understand my problem deeply and will try to solve  by own if possible . If not I will inform  my seniors and will seek for help. ,How would you ask for help?
Do you regret any decision in your life?,"No. I think for every decision, it seem to be right at that moment. So if will go back in time again, probably I'll make the same decisions. Moreover I think what happens, happens for a reason and I don't want to disrupt the balance of universe.",How do you arrive at a decision?
Do you regret any decision in your life?,"No. I think for every decision, it seem to be right at that moment. So if will go back in time again, probably I'll make the same decisions. Moreover I think what happens, happens for a reason and I don't want to disrupt the balance of universe.","So you have no regrets in life, is that right?"
"If you could learn some new skill, what would that be?","The new skill/s that I would like to acquire is/are -
\
1.I wanna learn a new sport , like , table tennis which i always thought is a great game not only to improve you physically but also, I think when you hit that ball, you have to be extremely careful about hitting it with the right force. Even if we apply a little mmore force, it will go out. So, it imposes a constraint. We will have a very good co-ordination of mind and hand which is very essential in today's world. One needs to stop the gush of emotions and think rationally.
\
2. I'd love to learn to play a flute. It is by far the most soothing experiences i had. Whenever I hear someone play a flute, i get  immersed. It soothes my mind like none ",Would you like to learn any technical skills?
What is the difference between confidence and over-confidence?,"Confidence is something that is required to motivate ourselves to achieve something that we desire. Confidence is a must in everyone to be able to carry forward something saying-'You are able enough to do it' to yourself.
Overconfidence is you being over everybody else in whatever you think you are trying to achieve.When you feel that I don't find anybody but me capable enough and becomes over excited, that is over confidence. 
Confidence is something you should have, while the other one better stay away.",What did you learn from it?
How do you think this job will help you fulfill your career goals?,"First benefit we would get by doing some job is experience.Experience is the one which sets us apart from others.It helps us know how the industry really works what kind of obstacles we face and how we can prepare to fight back those obstacles.
\
Second benefit is that the job provides us an oppurtunity to develop our skills.Without skills we cannot achieve what we wanted to.
\
By doing a job we get to interact with different kinds of people,and we can know different kind of perspectives on a topic which helps us in understanding how others think. ",what if the job we are about to offer won't satisfy the above criterias?
What are your outside interests?,"I like music, playing throwball, shoping, hanging out with friends.",How do you balance your time to pursue this?
What are your outside interests?,"I love to play cricket , badminton.I am also active trekker.I am an active  member  of various trekking clubs in Bangalore.",How do you make time to pursue these interests?
What can you do better for us than the other candidates for the job?,"I never leave my work incomplete or undone. So, if you assign me some work, you can think of it as done. Also, I usually play away from the deadlines. So, you need not worry about nagging me to submit the work on time. ",What if the deadlines are too short and you will have to put in more hours to complete it?
Where do you see yourself five years from now?,As a socially active human  and knowledgeble data scientist.       ,How are going to prepare yourself for that now?
Describe a time when your workload was heavy and how you handled it.,"During my mtech course, I was very much over occupied with my subjects and projects that I took as open electives. Initially, I thought they are very good and I will be learning a lot through these. As time passed, I found myself relentlessly anguished with the amount of the work that was needed to be done. I have never been so much trapped in the work before. Hence, I didn't find any solution of how to start with. But then I used to see my other mates on how they manage their day , maintaining schedule and following it. Maybe it was a feeling of competition that pushed me to divide time for e",How did you come with your own plan to handle this situation ?
Do you consider yourself lucky?,"Extremely ! Given that i got admission into this college at the nick of time ! Basically i had no hopes on joining here and had planned for taking  a drop. Everything was set, we talked with the coaching institute, got my books packed up and everything. I was gloomy, couldn't talk with my pals, everything was going wrong ! That's when I got a mail from my dad about this ! so, if I weren't lucky, id not be sitting here and typing this sentence !",So do you think only luck factor is important than hard work?
What do you do if you disagree with your boss?,"To disagree is natural and healthy, I believe. We would hardly progress if everyone just agreed with each other and remained passive. But there is a polite, non confrontational way to go about voicing your disagreement. If I had a disagreement with my boss, I would voice it. The manner in which I'd voice is albeit respectful would vary a little depending on the personality of my boss. If he/she were an open, friendly, approachable boss, I would be a little more frank and specific about my disagreement and maybe go so far as to offer alternatives and suggestions. If the boss is a little more reserved and less open to suggestions, I would subtly make my opinion known and take it forward based on the reaction.",Have you done this in recent past?
What is the difference between hard work and smart work?,"hardwork means we put in all our efforts to every thing that we need to do without prioritizing them while smart work means prioritizing our work on the basis of what we are actually doing into various subparts and then deciding how much time and effort do we need to put in each of these subparts. 
\
But this does not mean we forget hardwork while focusing on smart work. hardwork is required  but in a smarter way.... this is the key idea of smart work  ",Does smart work include finding innovative and shorter ways to achieve the goal?
What is the difference between hard work and smart work?,"hardwork means we put in all our efforts to every thing that we need to do without prioritizing them while smart work means prioritizing our work on the basis of what we are actually doing into various subparts and then deciding how much time and effort do we need to put in each of these subparts. 
\
But this does not mean we forget hardwork while focusing on smart work. hardwork is required  but in a smarter way.... this is the key idea of smart work  ",So does this mean that smart work only means good preparation?
What are the strategies you think one should have to perform well in such an interview?,"I would like mention in few points.
1) Come with a clear mind.
2) Have a good nights sleep , the previous night.
3) Practice before the mirror before coming to the interview.
4) Eat a healthy breakfast.
5) Don't heed to any naysayers advice. People may try to bring you down.
6) Visualise your success in the interview.
7) Be well prepared with your resume.
8) Take time to think while answering.
9) Be prepared to ask questions to the recruiter.
10) Don't let one failure dictate your future course of life. 
",Do you prepare alternate plans for times when you are not able to answer adequately?
What are the strategies you think one should have to perform well in such an interview?,"I would like mention in few points.
1) Come with a clear mind.
2) Have a good nights sleep , the previous night.
3) Practice before the mirror before coming to the interview.
4) Eat a healthy breakfast.
5) Don't heed to any naysayers advice. People may try to bring you down.
6) Visualise your success in the interview.
7) Be well prepared with your resume.
8) Take time to think while answering.
9) Be prepared to ask questions to the recruiter.
10) Don't let one failure dictate your future course of life. 
",Dont you plan to learn from past failures and iron out flaws?
What was the toughest decision you ever had to make?  ,their was a girl i loved but then our relationship was turning into a very toxic relationship due to some unavoidable incidents. and at last i decided to stop talking to her and decided to turn her into a stranger which turned out to be the most difficult decision of my life. as i had never imagined myself without her. and  it took me a lot of time to forget her.,Do still think it was a good decision?
What was the toughest decision you ever had to make?  ,their was a girl i loved but then our relationship was turning into a very toxic relationship due to some unavoidable incidents. and at last i decided to stop talking to her and decided to turn her into a stranger which turned out to be the most difficult decision of my life. as i had never imagined myself without her. and  it took me a lot of time to forget her.,Do you think the relationship deserved to end like this and not taking partners feelings into consideration was a good decision?
 Give an example of a goal you did not meet and how you handled it.,"We have one project module as a part of Training while i was woking with infosys. I was selected as a project lead for that project. I was not able to deliver that project on time because I was more focused on the optimization and performance part of the application. On the day of Demo of the project, I discussed with the head and explained her why I was not able to deliver it. She was impressed with the way we were going but explained me that timely delivery is more important. She gave us 2 more days and during that we were able to deliver the project.",Do you feel that two days delay is still justifiable?
 Give an example of a goal you did not meet and how you handled it.,"We have one project module as a part of Training while i was woking with infosys. I was selected as a project lead for that project. I was not able to deliver that project on time because I was more focused on the optimization and performance part of the application. On the day of Demo of the project, I discussed with the head and explained her why I was not able to deliver it. She was impressed with the way we were going but explained me that timely delivery is more important. She gave us 2 more days and during that we were able to deliver the project.",What would you do next time so that this delay is not repeated?
What matters to you more - job satisfaction or salary?,"Well, for me job satisfaction is the MAIN thing that matters. I cannot imagine myself doing some work that does not interest me, just for the sake of money. I am not saying that money doesn't matter. It does, to some extent. For example, I would be, in few years from now, working for a company that works in the area of my interests (compilers), which pays a decent amount as a salary to me. I am saying this because, I have worked hard to get to the stage where I am right now, and wouldn't want to go it for waste. On the other hand, I also plan to open an institute to teach students music, for free :)",Do you plan to do other freelance projects to meet the monetary goals?
What matters to you more - job satisfaction or salary?,"Well, for me job satisfaction is the MAIN thing that matters. I cannot imagine myself doing some work that does not interest me, just for the sake of money. I am not saying that money doesn't matter. It does, to some extent. For example, I would be, in few years from now, working for a company that works in the area of my interests (compilers), which pays a decent amount as a salary to me. I am saying this because, I have worked hard to get to the stage where I am right now, and wouldn't want to go it for waste. On the other hand, I also plan to open an institute to teach students music, for free :)",How do you differentiate between job satisfaction and personal well being?
Why should you be hired from outside when someone could be promoted within the same organisation?,Because the person who is eligible for being promoted is not as good as me.If he was better then he would have been promoted.,What new do you bring to the table?
What is the difference between hard work and smart work?,"Hard work and smart work are entirely different things. Although they are independent things, having existence on their own, smart work can result from hard work. So the major difference is that even though someone works really hard on something, there is necessarily no need that his/her resultant work should be something worth considering smart. Smart work comes as a result of careful and intelligent thinking followed by precise application of those ideas. This might involve a lot of hard work even though it is not necessary. ","So, are you saying there is no distinction between them?"
How do you kill your time when you are not working?,"I generally like to talk to my family and friends and roam around and have fun. Watch movies or go out and eat somewhere chitchatting with them which relieves my mood. If I find them busy or engaged in other work then would spend my time alone listening to music, watching TV, reading books and sleeping to relax myself.",Do you make time for these?
"Have you worked with someone unprofessional, how did you handle it?","Not sure, if I can call it unprofessional, but my team 'sanskriti' the team of cultural Committee of the college and my other team -'Sahyog' the team of Mentorship Club of the college was a bit unprofessional. Handling such a team was a little tough as it use to happen many times that we have a meeting and then we come to a conclusion and the tasks are allotted to the juniors with some deadline dates. but they are not finished by that time, and many time, youhave to come forward, and either make it done by other set of juniors or sometimes do it by your own.",Did you try to convince them to be professional?
"Have you worked with someone unprofessional, how did you handle it?","Not sure, if I can call it unprofessional, but my team 'sanskriti' the team of cultural Committee of the college and my other team -'Sahyog' the team of Mentorship Club of the college was a bit unprofessional. Handling such a team was a little tough as it use to happen many times that we have a meeting and then we come to a conclusion and the tasks are allotted to the juniors with some deadline dates. but they are not finished by that time, and many time, youhave to come forward, and either make it done by other set of juniors or sometimes do it by your own.",What tactics did you use to make them work together?
What matters to you more - job satisfaction or salary?,To me job satisfaction matters more. This is because I believe in simple living and high thinking. This answer could have been different if I had some money problems in my life which as of now I don't have.  ,How much preference does money have in your life?
What has been your greatest leadership achievement in a professional environment?,"Ensuring that my team works together as one, for the project, even though the team members don't really, well, do things together. As part of a course, say, XYZ, we were randomly assigned teammates. In my team, a couple of them had a history which was so bad, that they refused to see each other eye-to-eye (literally). By tapping their passion for the project and making them understand the overall outcome, I managed to extract usefulness and productivity thus making the project a success. I didn't really solve their feud. But I manage to make them work together for some time, for a greater good/deed. This i one leadership achievement I feel has been my greatest.",Do you believe that's the right way to lead a team to success?
What has been your greatest leadership achievement in a professional environment?,"Ensuring that my team works together as one, for the project, even though the team members don't really, well, do things together. As part of a course, say, XYZ, we were randomly assigned teammates. In my team, a couple of them had a history which was so bad, that they refused to see each other eye-to-eye (literally). By tapping their passion for the project and making them understand the overall outcome, I managed to extract usefulness and productivity thus making the project a success. I didn't really solve their feud. But I manage to make them work together for some time, for a greater good/deed. This i one leadership achievement I feel has been my greatest.",Don't you think having a good working relationship is important for any team to sustain in a longer run?
 Why shouldn't I hire you?,I don't give up easily on a thing. I try to explore all the avenues before calling it quits and sometimes it may result in time wasted. I realise that sometimes it's easier to give up because another way exists but I have a tendency to explore everything on a particular approach. I am trying to improve over it by taking it easy on myself if I don't complete a job and switch to next. as I am trying to realise on how wasted efforts are costlier. I have a short temper if work doesn't happen as it was supposed to happen. Earlier I would get worked upon very small things but now I have started practicing meditation to smoothen my transition and be more patient.,Do you think your short temper would be the reason not to hire you?
Give me an example of a time when you had to be quick in coming to a decision. What obstacles did you face?,When I was in 11th my mother had a neurosurgery in which many complications rose. My parents were away and I had my grandfather staying with me. My mother was being transferred to another city where she could be treated well. I had my classes and coaching going on at that time since 11th is a crucial year in academics. I wasn't feeling very well as I am close to my mother and my grades were suffering. So when I got to know the news I checked for tickets on a whim and luckily 2 were empty. Everyone was telling me not to come as it might affect my studies but I wasn't being very fruitful by staying there too. So within that 10 minutes I decided to skip on a test and called up my professors to take the permission and booked a ticket as soon as possible. I feel that it was one of the toughest decisions I had to take as it was between my mental peace and my academics. In the long run I never felt it as a wrong decision even if it was taken in the nick of time.,Would you regret that decision in the future?
"If you could relive the last 10 years of your life, what would you do differently?",I am happy with what my life has turned out to be. I would not make any big changes but may be change small small things like be more proactive and be helpful and polite.,How do you think making these small changes could have helped you?
"If you could relive the last 10 years of your life, what would you do differently?",I am happy with what my life has turned out to be. I would not make any big changes but may be change small small things like be more proactive and be helpful and polite.,How does your self motivation can play a role here if you compare yourself from 10 years back?
How would you be an asset to this organisation?  ,I can be an asset to this organisation by contributing my knowledge and skills whenever and wherever its required. I will put my hard work and full dedication to achieve the goal and can make good interaction with people in organisation so as to create a good understanding to work together efficiently.,How do you train yourself for skills you lack?
How would you be an asset to this organisation?  ,I can be an asset to this organisation by contributing my knowledge and skills whenever and wherever its required. I will put my hard work and full dedication to achieve the goal and can make good interaction with people in organisation so as to create a good understanding to work together efficiently.,If not taken would you like to reapply and why?
What are your outside interests?,"I love watching cricket. I like to play volley ball, shuttle. I listen to songs. I have got an artistic inclination.  I love to help people grow. I love to do adventures and be adventures.",Quote an example of adventurous art.
What are your outside interests?,"I love watching cricket. I like to play volley ball, shuttle. I listen to songs. I have got an artistic inclination.  I love to help people grow. I love to do adventures and be adventures.",What according to you art is?
Where do you see yourself five years from now?,"I see my self as a happy well settled man with a good job in the IT sector , with a family and a car and house of my own.",Do you think this job can get you all those?
Where do you see yourself five years from now?,"I see my self as a happy well settled man with a good job in the IT sector , with a family and a car and house of my own.",How important is money for you?
Are you a self-motivator?,"Yes, I am a self-motivator. I always think how the better or stronger version of myself would do a particular work and tend to be that person which is a big self motivating technique that allows me to be motivated every time. I always evaluate any performance by comparing my previous performance with my current performance and this motivates to be a better version of myself. It is one of the skills which I think plays an essential part in driving me towards success.",Do you think self motivation comes from inspiration?
Are you a self-motivator?,"Yes, I am a self-motivator. I always think how the better or stronger version of myself would do a particular work and tend to be that person which is a big self motivating technique that allows me to be motivated every time. I always evaluate any performance by comparing my previous performance with my current performance and this motivates to be a better version of myself. It is one of the skills which I think plays an essential part in driving me towards success.",How would you restrict yourself from comparing to you than somebody else?
What is the difference between confidence and over-confidence?,"Confidence is one which lets a person break his inhibitions and attain great success . However , overconfidence is a trait which when persued makes a person arrogant and blind to the others ideas and respect. ",What do you think about balancing between the two?
What do people most often criticize about you?,"When it comes to completing the assigned tasks before deadlines, I give more priority to my work than my friends. So, sometimes I am not able to enjoy the social gatherings . Due to which people feel neglected and they sometimes criticize this behavior .",Why do you feel the necessity to deliver well ahead?
What has been your best career move so far?,I opting to come to IIIT bangalore that was my best career move but after that there was an add on when I worked on the government of India's railway website which was very useful for what I was trying to do.,What was the U-turn of your career?
What strategies would you use to motivate your team?,Promote creativity and team spirit.Provide challenging tasks and appreciate their work.,How can you make your team work?
What motivates you to do a good job?,"When I realise how my good work is being helpful when seeing it in bigger picture, it motivates me to do good jobul",What keeps you up for your job?
Are you a self-motivator?,"yes, I think i am a self-motivator, let me tell you about my experience ,when i was in 12th standard i didn't study properly and got less marks but inside i knew i could have got a good score ,after that in engineering i keep on motivating myself. That is how i got somewhat better score.",How can you say that you can do better than how you are doing presently?
What matters to you more - job satisfaction or salary?,"I am actually more interested in salary than job.but that doesn't mean that I am not interested in my job. My first preference goes to salary and then job.generally good salary means a good job in a big company but the burden is more.I like to work in big companies even when there are loads of work.job satisfaction is obtained when every aspect of work we do satisfies us which is impossible.so,it is salary that matters  more for me.",What is your definition of job satisfaction?
What matters to you more - job satisfaction or salary?,"I am actually more interested in salary than job.but that doesn't mean that I am not interested in my job. My first preference goes to salary and then job.generally good salary means a good job in a big company but the burden is more.I like to work in big companies even when there are loads of work.job satisfaction is obtained when every aspect of work we do satisfies us which is impossible.so,it is salary that matters  more for me.",What would you do if you are underpaid?
Give an example of your creativity.,"I developed a JavaScript library that manipulates the web elements using the data retrieved from accelerometer and gyroscope of smartphones and using which, the elements on the web page was made to simulate real-world shadows with an imaginary light source.",Awesome! Is it being used by others?
Give an example of your creativity.,"I developed a JavaScript library that manipulates the web elements using the data retrieved from accelerometer and gyroscope of smartphones and using which, the elements on the web page was made to simulate real-world shadows with an imaginary light source.",Is the library open source?
What are your views about further studies?,"First I want to have my imtech specialization in Networking, Communication and Signal Processing. Later I want to do my PhD in the mentioned specialization in India or Switzerland. Later I want to become a Professor or Research oriented position in some MNC.",How do you think you can contribute to the society with all the knowledge you obtain?
What are your views about further studies?,"First I want to have my imtech specialization in Networking, Communication and Signal Processing. Later I want to do my PhD in the mentioned specialization in India or Switzerland. Later I want to become a Professor or Research oriented position in some MNC.",What are your mid-term goals to achieve them?
Tell me about a time when you had to deal with a co-worker who wasn't doing his/her fair share of the work. What did you do and what was the outcome?,"When my co-worker wasn't doing his share of work, I tried to convince him that he must do his share of work as he would learn something from the experience. The outcome was that he tried to more than the work he had done previously but still he didn't do the complete share of his work. ",How do you think you could have convinced him in a way so that he was productive instead?
Are you a self-motivator?,"Yes, I am. I constantly push myself to new tasks and challenges that I set up for myself. I sometimes need a little push to start off though, but that is very rare. ",Can you describe a recent incident where you have displayed this quality of yours and how did it benefit the organisation you are associated with?
Are you a self-motivator?,"Yes, I am. I constantly push myself to new tasks and challenges that I set up for myself. I sometimes need a little push to start off though, but that is very rare. ",In what particular scenarios do you find yourself needing an extra little push?
What are your strengths and weaknesses? ," Perseverance is  a particular strength I am proud of.
I am quite industrious. I don't like leaving anything before completion. I try my best to complete a task at hand.
I am a true Sagittarian. I have worked in projects involving groups and have achieved success often. I don't get easily carried away by distractions. I am a bit stoic at heart. If you consider, phone usage as a measure, I consider mobile as a productivity tool only. I spend very little amount of time on social networking. I like trying new things out.
I am very flexible with waking an sleeping times.
In times of distress, I always believe in faith rather than hope. I am a true Gandhian at heart.

Weakness
I become  a bit stressed during deadlines. I have willingness to complete but my productivity falls a bit on approaching a deadline.  
When I have less interest in work I am give, I tend to procastinate it.",Do you think it is really a weakness to procastinate on work that you are not interested?
What are your strengths and weaknesses? ," Perseverance is  a particular strength I am proud of.
I am quite industrious. I don't like leaving anything before completion. I try my best to complete a task at hand.
I am a true Sagittarian. I have worked in projects involving groups and have achieved success often. I don't get easily carried away by distractions. I am a bit stoic at heart. If you consider, phone usage as a measure, I consider mobile as a productivity tool only. I spend very little amount of time on social networking. I like trying new things out.
I am very flexible with waking an sleeping times.
In times of distress, I always believe in faith rather than hope. I am a true Gandhian at heart.

Weakness
I become  a bit stressed during deadlines. I have willingness to complete but my productivity falls a bit on approaching a deadline.  
When I have less interest in work I am give, I tend to procastinate it.",What is your plan to overcome your weaknesses?
How did you prepare for the interview?,"I brushed up my basics, did online surfing, interacted with people for having a fruitful exchange of knowledge. 
\
I know what exactly the company is looking for and I find those qualities resembling to my till date experience.",What did you find out about the company while surfing online?
"Have you worked with someone unprofessional, how did you handle it?",I have once worked with a mentor who was really unprofessional. It was as a part of my summer internship. He was abusive to say the least. The words he would speak cannot be told. I had a very bad time in that company. I ultimately quit the company though they were paying me very high amount of money because I have always believed in self respect coming first and later money. I am happy I chose to quit that company. I did not want to complaint it to the HR because I felt may be it just happened with me and looked at it in the positive way. His words gave me motivation later and I got another nice internship opportunity which I thoroughly enjoyed.,What did you learn from this experience?
Give an example of how you worked in team.,"The first thing that comes to my mind, is the inter-school event in which I had participated during my 11th Std studies.  We were a team of 5 students, and we had to pick a theme for fighting climate change. Global warming was the buzzword in those days. We chose 'Sustainable Development' as our theme, and made models to depict different ways in which sustainable energy can be generated. The entire event was almost one month long and the five of us enjoyed it as well as learnt a lot, as it was our first experience of the 'professional' outside world.     ",What was specifically your role in this team?
Who has inspired you in your life and why?,A lot of people have inspired me but mainly i would like yo say that my father is my inspiration. I have grown up watching him and i aspire to be like him in future,Do you think you will make your father proud in the near future?
How do you define success and how do you measure upto your own definition? ,"I define success as an achievement of your goals which also adhere to your ideals. My initial interests were in the field of Chemistry followed by Computer Science. Given that I am in a good institute which is well-known for Computer Science, I would say I am partly successful. I don't consider myself completely successful as I couldn't pursue my first interest.",Do you regret choosing CS over chemistry?
What was the toughest decision you ever had to make?  ,My toughest decision was to choose a college after my board exams.,Because as per your interests you prefer Chemistry and CS. So shouldn't your toughest decision be choosing between CS and Chemistry?
Describe a time when your workload was heavy and how you handled it.,"When I was in company , we had last day to finish our target . We started our day with a small meeting and we discussed how things can be done on time . And then we proceeded  as par our plan . We were able to complete significant amount of work during office hours but It was not enough . We extended our working hours and we manage to get things done . At the end everyone was satisfied with his or her efforts . ",How would you rate your performance under stress?
Are you a risk taker or do you stay away from risk?,"I am definitely a risk-taker.
\
One cannot move up the ladder of success without taking risks.
\
Having said that, I take risks only after assuring that the damage is minimal in case I fail.
\
I like taking risks as that will put me out of my comfortable place and give me new experiences.
\
Also, risks make me work harder.",Whats your prime motivation for taking up that risk?
What are your views about further studies?,"I believe that whether this option should be pursued depends on the person and what they wish to achieve in their life. As for me, I want to know about more and more about things which I find interesting. I also think that I would love the interactions and intellectual stimulation that only an academic place can provide. I will definitely take up such an option if I get the chance.  ",What is the right time to go for further studies?
Tell me about a time when you had to deal with a co-worker who wasn't doing his/her fair share of the work. What did you do and what was the outcome?,"If my colleague is not performing as per the work given to him  i will try to convince him to work on it with interest and how his work is helpful and important for his career to get new opportunities in a team, in organization. I will try to make him convinced if he is not interested in that technology or work, i will tell him first try to understand the core of the project or product and do what ever tasks assigned to you  and side by side learn new technologies of your interest which will be helpful for project development. so even if he is not convinced i will suggest him to give a try to learn new things otherwise pursuing his area of interest.",Why did it bother you to know that your colleague doesn't do fair share of work?
What is the biggest challenge you have faced so far?,The biggest challenge ever i ave faced in my life is to do some work efficiently within an minimum deadline and at that moment i focused myself towards work concentrately that yield me to overcome from one of biggest challenge.,Was this challenge personal or professional?
What is the difference between confidence and over-confidence?,"well in easy words, confidence is a believe in our own capabilities (in respect to certain job) and being assured that i can do it whereas overconfidence is'only i an do this job,and no one else can'.","What is worse, over-confidence or under-confidence?"
What are your views about further studies?,Further studies is necessary for anyone who is interested in getting the in-depth knowledge of his field of interest.,Do you think that a comfort of a job is any day better than future studies?
What are your views about further studies?,Further studies is necessary for anyone who is interested in getting the in-depth knowledge of his field of interest.,"What would you do, MBA or MS or PhD?"
Explain how would you be an asset to this organisation?,I would be an asset as I will put in my best effort. I will do the share of work allocated to me efficiently. I will try to create a friendly environment within the organization.  ,How to create a friendly environment?
Explain how would you be an asset to this organisation?,I would be an asset as I will put in my best effort. I will do the share of work allocated to me efficiently. I will try to create a friendly environment within the organization.  ,How will you put your best effort?
"If you could relive the last 10 years of your life, what would you do differently?","I would be more open to outside world and express myself to outside world as much as i can. Since childhood, i sufffered from stammering and whole my schooling and college life goes with fear of speaking in front of strangers and in public places. But from last 2 years, I have got to know that, this is really not a problem, actually it's a pyschological problem and not believing in yourself that you can speak. It can be easily overcome by practicing in situations where you fear the most. Now, I don't have fear of anything and i more open now and accepted that i am having stammering so i am seeing improvement in myself alot.",And what you would not change at all?
"If you could relive the last 10 years of your life, what would you do differently?","I would be more open to outside world and express myself to outside world as much as i can. Since childhood, i sufffered from stammering and whole my schooling and college life goes with fear of speaking in front of strangers and in public places. But from last 2 years, I have got to know that, this is really not a problem, actually it's a pyschological problem and not believing in yourself that you can speak. It can be easily overcome by practicing in situations where you fear the most. Now, I don't have fear of anything and i more open now and accepted that i am having stammering so i am seeing improvement in myself alot.",And will you regret?
What do you do if you disagree with your boss?,"If such a situation arises, I would keep my thoughts in front of him politely and try to understand his point of view as well. If even after such discussion there is disagreement between us I will agree to disagree.",What will you do if the boss still disagrees?
What do you do if you disagree with your boss?,"If such a situation arises, I would keep my thoughts in front of him politely and try to understand his point of view as well. If even after such discussion there is disagreement between us I will agree to disagree.",Would you get angry if you don't come to a common viewpoint with your boss?
Are you a self-motivator?,"Yes, I am. Before I start working on something or when I start studying something I just recall the eventual purpose of it when is my personal goal. So, when that goal flashes in my mind I get boosted like anything. I have set-up high goals in my life. My life mantra would is never settle, wondering what that means? According to me, only 'MUD' settles in the bottom. ",Are you a fun loving person?
